car_id,plate,stable_memory,locked,digits_locked,ocr_score,car_confidence,plate_confidence,stable_frame,observations,last_seen_frame
165,7,False,False,False,0.011029726274020818,0.9726217985153198,0.7181538939476013,,1,12152
209,สาาสาา 1,False,False,False,0.011727864180271299,0.9290868639945984,0.8030617237091064,,1,16600
278,ทบอา,False,False,False,0.009655596688389778,0.9885209798812866,0.788621187210083,,1,16632
312,4,False,False,False,0.011876659086269245,0.9731910228729248,0.7986443638801575,,1,18592
363,กา,False,False,False,0.005729684643952669,0.8804290890693665,0.7608160376548767,,1,21040
383,3,False,False,False,0.014584608299629187,0.9951168298721313,0.7963514924049377,,1,22560
394,ครรมา,False,False,False,0.13463232610500736,0.9503014087677002,0.7979207038879395,,2,22712
460,7,False,False,False,0.027504124381141165,0.9659658670425415,0.7802750468254089,,2,25120
476,าคเาช,False,False,False,0.016872794696381723,0.9704840779304504,0.7956992983818054,,1,25672
487,ก..,False,False,False,0.039866604180378344,0.9729641675949097,0.6349070072174072,,1,26304
683,ตปช,False,False,False,0.024137119699452512,0.9985511898994446,0.8437880277633667,,1,42992
712,เฎ,False,False,False,0.030760494233782375,0.9797146916389465,0.7481217384338379,,1,44200
788,ทชเงเป,False,False,False,0.005242693641198312,0.9914310574531555,0.7484542727470398,,1,51904
804,ก,False,False,False,0.0679608939908869,0.876937985420227,0.5510320663452148,,1,53592
1059,ตำฺบาอ,False,False,False,0.03730202958605696,0.8472900390625,0.7690261602401733,,1,79448
1176,อาสมร,False,False,False,0.0022934455251481848,0.9529618620872498,0.7153937816619873,,1,93008
1194,แปํ,False,False,False,0.010571042162858375,0.9842478036880493,0.7692064046859741,,1,94600
1228,ทฎาวาา,False,False,False,0.03655639413295747,0.9903841018676758,0.749894380569458,,2,95808
1261,กบ,False,False,False,0.33656420803361314,0.8896586298942566,0.7906751036643982,,1,96664
1287,กทนีเาาร,False,False,False,0.022974404045566152,0.9345811605453491,0.8032403588294983,,1,97624
1429,816,False,False,False,0.5045837163925171,0.9119248390197754,0.787883460521698,,2,102488
1431,ฟ,False,False,False,0.0923824210957811,0.9901455044746399,0.5066607594490051,,1,102264
1442,นํ,False,False,False,0.02065335544554657,0.995879054069519,0.7565029859542847,,1,102976
1501,กาทย,False,False,False,0.006299853790551424,0.9198145270347595,0.7773220539093018,,1,104888
1508,.ง,False,False,False,0.06152688578773815,0.8423639535903931,0.6390202045440674,,1,104976
1511,.ปทมวงส,False,False,False,0.004151053637552281,0.9804272651672363,0.7391782402992249,,1,105368
